Repository,URL
ansible/aap-upstream-ci-tests,https://github.com/ansible/aap-upstream-ci-tests
ansible/awx-logos,https://github.com/ansible/awx-logos
ansible/ansible-automation-platform-ui-operator,https://github.com/ansible/ansible-automation-platform-ui-operator
ansible/aap-jenkins-shared-library,https://github.com/ansible/aap-jenkins-shared-library
ansible/ansible_sdk_demo,https://github.com/ansible/ansible_sdk_demo
ansible/blog,https://github.com/ansible/blog
ansible/issue-forms-demo-for-ansible,https://github.com/ansible/issue-forms-demo-for-ansible
ansible/ansible-on-clouds-releases,https://github.com/ansible/ansible-on-clouds-releases
ansible/aap-gcpdm-standalone,https://github.com/ansible/aap-gcpdm-standalone
ansible/eda-partner-testing,https://github.com/ansible/eda-partner-testing
ansible/seeded-content-job-variables,https://github.com/ansible/seeded-content-job-variables
ansible/anonymizer,https://github.com/ansible/anonymizer
ansible/community,https://github.com/ansible/community
ansible/aap-gateway-service-lib,https://github.com/ansible/aap-gateway-service-lib
ansible/role-install-gcloud,https://github.com/ansible/role-install-gcloud
ansible/community-docs,https://github.com/ansible/community-docs
ansible/AoC-pipeline,https://github.com/ansible/AoC-pipeline
ansible/webhooks.js-release,https://github.com/ansible/webhooks.js-release
ansible/webhooks.js,https://github.com/ansible/webhooks.js
ansible/ansible-publish-action,https://github.com/ansible/ansible-publish-action
ansible/azure-pipelines-testing,https://github.com/ansible/azure-pipelines-testing
ansible/role-secure-docker-daemon,https://github.com/ansible/role-secure-docker-daemon
ansible/pinakes-ui,https://github.com/ansible/pinakes-ui
ansible/deploy_ldap,https://github.com/ansible/deploy_ldap
ansible/tower-example,https://github.com/ansible/tower-example
ansible/tacacs_plus,https://github.com/ansible/tacacs_plus
ansible/django-radius,https://github.com/ansible/django-radius
ansible/aws-cfn-bootstrap,https://github.com/ansible/aws-cfn-bootstrap
ansible/jinja-docsite,https://github.com/ansible/jinja-docsite
ansible/workshop-examples,https://github.com/ansible/workshop-examples
ansible/aws-cdk,https://github.com/ansible/aws-cdk
ansible/aws-cli,https://github.com/ansible/aws-cli
ansible/amazon-cloudwatch-agent,https://github.com/ansible/amazon-cloudwatch-agent
ansible/amazon-ssm-agent,https://github.com/ansible/amazon-ssm-agent
ansible/prometheus-podman-exporter,https://github.com/ansible/prometheus-podman-exporter
ansible/gcp-ops-agent,https://github.com/ansible/gcp-ops-agent
ansible/boto3,https://github.com/ansible/boto3
ansible/gcp-cloud-sql-proxy,https://github.com/ansible/gcp-cloud-sql-proxy
ansible/gcp-osconfig,https://github.com/ansible/gcp-osconfig
ansible/ansibullbot,https://github.com/ansible/ansibullbot
ansible/eda-awx-project-sample,https://github.com/ansible/eda-awx-project-sample
ansible/session-manager-plugin,https://github.com/ansible/session-manager-plugin
ansible/psycopg2,https://github.com/ansible/psycopg2
